mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__estimator__max_depth,param_classifier__estimator__min_samples_split,param_classifier__learning_rate,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11.56721,0.159219,0.087487,0.003479,3,5,0.5,200,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 200}",0.9,0.896875,0.903906,0.913281,0.920312,0.906875,0.008691,22
5.830425,0.082845,0.051013,0.002623,3,10,0.1,100,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 100}",0.894531,0.892188,0.89375,0.901562,0.898438,0.896094,0.003423,55
8.674647,0.140369,0.078912,0.007337,3,10,0.1,150,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 150}",0.9,0.896094,0.896875,0.905469,0.9,0.899688,0.0033,49
11.685304,0.178987,0.08852,0.007341,3,10,0.1,200,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.901562,0.898438,0.898438,0.905469,0.9,0.900781,0.002615,48
5.908166,0.226077,0.054137,0.004864,3,10,0.2,100,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 100}",0.903906,0.901562,0.902344,0.90625,0.903906,0.903594,0.001609,45
10.028283,0.237367,0.078466,0.007762,3,10,0.2,150,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 150}",0.904688,0.902344,0.903906,0.910938,0.907031,0.905781,0.002989,25
14.147887,0.436213,0.101797,0.016159,3,10,0.2,200,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 200}",0.905469,0.903125,0.903125,0.909375,0.907812,0.905781,0.0025,25
7.000189,0.61253,0.059449,0.006536,3,10,0.5,100,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 100}",0.901562,0.898438,0.899219,0.911719,0.9125,0.904688,0.006152,38
9.334781,0.102661,0.082394,0.012529,3,10,0.5,150,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 150}",0.900781,0.897656,0.900781,0.910938,0.914062,0.904844,0.006431,35
12.498686,0.204648,0.098251,0.006731,3,10,0.5,200,"{'classifier__estimator__max_depth': 3, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 200}",0.9,0.899219,0.907812,0.908594,0.914844,0.906094,0.005834,24
10.06337,0.080908,0.07934,0.042768,5,2,0.1,100,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 100}",0.901562,0.900781,0.907812,0.90625,0.907031,0.904688,0.002923,38
17.664178,0.228636,0.071789,0.003527,5,2,0.1,150,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 150}",0.905469,0.90625,0.909375,0.909375,0.907812,0.907656,0.001593,12
21.140471,1.602142,0.095971,0.004769,5,2,0.1,200,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.90625,0.907812,0.909375,0.915625,0.90625,0.909062,0.00348,8
9.352562,0.502368,0.052659,0.001604,5,2,0.2,100,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 100}",0.907812,0.902344,0.90625,0.904688,0.907812,0.905781,0.002073,25
13.574519,0.338706,0.071291,0.003501,5,2,0.2,150,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 150}",0.910156,0.903125,0.905469,0.908594,0.90625,0.906719,0.002451,23
18.087017,0.267157,0.089168,0.004076,5,2,0.2,200,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 200}",0.908594,0.905469,0.909375,0.90625,0.907031,0.907344,0.001449,14
9.248289,0.108355,0.055277,0.002741,5,2,0.5,100,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 100}",0.913281,0.905469,0.902344,0.90625,0.907812,0.907031,0.003597,19
13.675707,0.283344,0.072611,0.002713,5,2,0.5,150,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 150}",0.914062,0.902344,0.907031,0.911719,0.910156,0.909062,0.004063,8
18.184471,0.323209,0.093239,0.003399,5,2,0.5,200,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 200}",0.911719,0.907031,0.903906,0.904688,0.9125,0.907969,0.003542,10
8.908372,0.17782,0.053761,0.003586,5,5,0.1,100,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 100}",0.9,0.902344,0.904688,0.907812,0.90625,0.904219,0.002778,42
13.503761,0.380514,0.072464,0.002502,5,5,0.1,150,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 150}",0.9,0.907031,0.900781,0.907812,0.908594,0.904844,0.003678,35
17.897116,0.550484,0.093078,0.005428,5,5,0.1,200,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.9,0.907812,0.901562,0.909375,0.910156,0.905781,0.004181,25
9.07655,0.243717,0.052505,0.00203,5,5,0.2,100,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 100}",0.908594,0.904688,0.903125,0.910938,0.910156,0.9075,0.00307,13
13.486907,0.367567,0.070019,0.002738,5,5,0.2,150,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 150}",0.907031,0.904688,0.905469,0.910156,0.908594,0.907187,0.002001,18
18.169959,0.417621,0.089185,0.005373,5,5,0.2,200,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 200}",0.907031,0.905469,0.907812,0.907812,0.907812,0.907188,0.000911,15
9.134834,0.236533,0.052784,0.001035,5,5,0.5,100,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 100}",0.911719,0.911719,0.9125,0.90625,0.904688,0.909375,0.00324,5
13.711475,0.29537,0.072029,0.003123,5,5,0.5,150,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 150}",0.910156,0.909375,0.910156,0.907031,0.914062,0.910156,0.002264,4
18.312758,0.471478,0.091397,0.002672,5,5,0.5,200,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 200}",0.9125,0.90625,0.910156,0.911719,0.915625,0.91125,0.00307,2
8.781004,0.214328,0.053065,0.001817,5,10,0.1,100,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 100}",0.908594,0.900781,0.904688,0.9125,0.908594,0.907031,0.003984,19
13.548619,0.345049,0.074697,0.003522,5,10,0.1,150,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 150}",0.90625,0.904688,0.905469,0.9125,0.910156,0.907812,0.003006,11
18.091033,0.413254,0.098928,0.017303,5,10,0.1,200,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.907031,0.907031,0.90625,0.913281,0.9125,0.909219,0.003022,6
9.044602,0.192655,0.05163,0.002165,5,10,0.2,100,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 100}",0.909375,0.908594,0.902344,0.90625,0.908594,0.907031,0.002567,19
13.755696,0.339143,0.068349,0.003245,5,10,0.2,150,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 150}",0.909375,0.90625,0.903125,0.907812,0.909375,0.907188,0.002339,15
18.313935,0.505443,0.091665,0.004307,5,10,0.2,200,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 200}",0.908594,0.910156,0.904688,0.911719,0.910938,0.909219,0.00249,6
9.046921,0.282564,0.052577,0.001991,5,10,0.5,100,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 100}",0.911719,0.909375,0.901562,0.903125,0.910156,0.907188,0.004056,15
13.702488,0.329145,0.074036,0.003335,5,10,0.5,150,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 150}",0.911719,0.910938,0.907812,0.902344,0.920312,0.910625,0.005859,3
18.336177,0.693774,0.084623,0.020422,5,10,0.5,200,"{'classifier__estimator__max_depth': 5, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 200}",0.917969,0.9125,0.908594,0.900781,0.919531,0.911875,0.006782,1
