iter	Passed	Remaining
601	15687	10371
602	15711	10344
603	15734	10316
604	15759	10289
605	15786	10264
606	15806	10233
607	15826	10204
608	15848	10175
609	15876	10150
610	15900	10123
611	15923	10095
612	15944	10065
613	15971	10040
614	15995	10013
615	16020	9986
616	16042	9958
617	16065	9930
618	16086	9901
619	16111	9875
620	16132	9845
621	16153	9816
622	16175	9788
623	16195	9759
624	16212	9727
625	16230	9696
626	16248	9666
627	16264	9634
628	16284	9604
629	16299	9572
630	16316	9541
631	16332	9509
632	16350	9479
633	16364	9446
634	16381	9416
635	16395	9383
636	16409	9351
637	16425	9319
638	16439	9287
639	16449	9252
640	16464	9221
641	16481	9190
642	16499	9160
643	16516	9130
644	16535	9100
645	16551	9070
646	16567	9039
647	16581	9007
648	16598	8977
649	16613	8945
650	16629	8914
651	16646	8884
652	16660	8853
653	16677	8823
654	16693	8792
655	16705	8760
656	16721	8729
657	16739	8700
658	16755	8669
659	16772	8640
660	16790	8611
661	16807	8581
662	16824	8551
663	16841	8522
664	16858	8492
665	16874	8462
666	16891	8433
667	16908	8403
668	16927	8374
669	16943	8345
670	16960	8316
671	16976	8286
672	16992	8256
673	17009	8226
674	17029	8199
675	17049	8171
676	17064	8141
677	17077	8110
678	17096	8082
679	17111	8052
680	17127	8022
681	17148	7995
682	17161	7965
683	17176	7935
684	17192	7906
685	17207	7876
686	17223	7846
687	17239	7818
688	17254	7788
689	17269	7758
690	17286	7730
691	17303	7701
692	17317	7671
693	17333	7642
694	17349	7613
695	17366	7585
696	17381	7555
697	17395	7526
698	17411	7497
699	17427	7469
700	17443	7440
701	17457	7410
702	17470	7380
703	17483	7351
704	17499	7322
705	17515	7294
706	17533	7266
707	17550	7238
708	17562	7208
709	17578	7179
710	17593	7151
711	17609	7123
712	17625	7094
713	17642	7066
714	17657	7038
715	17673	7010
716	17690	6982
717	17708	6955
718	17726	6927
719	17740	6899
720	17759	6872
721	17780	6846
722	17797	6818
723	17810	6789
724	17824	6760
725	17837	6732
726	17856	6705
727	17871	6677
728	17887	6649
729	17904	6622
730	17922	6595
731	17940	6568
732	17959	6541
733	17980	6516
734	17993	6487
735	18006	6458
736	18021	6430
737	18033	6402
738	18050	6375
739	18066	6347
740	18081	6319
741	18098	6293
742	18113	6265
743	18128	6237
744	18143	6210
745	18162	6184
746	18181	6157
747	18197	6130
748	18208	6101
749	18222	6074
750	18236	6046
751	18251	6019
752	18266	5991
753	18277	5963
754	18294	5936
755	18309	5909
756	18326	5883
757	18342	5856
758	18358	5829
759	18371	5801
760	18386	5774
761	18400	5747
762	18417	5720
763	18433	5694
764	18450	5667
765	18466	5641
766	18486	5615
767	18502	5589
768	18519	5563
769	18538	5537
770	18554	5510
771	18571	5484
772	18587	5458
773	18602	5431
774	18620	5405
775	18638	5380
776	18655	5354
777	18674	5328
778	18690	5302
779	18709	5277
780	18726	5251
781	18740	5224
782	18759	5198
783	18774	5172
784	18792	5146
785	18808	5120
786	18822	5094
787	18839	5068
788	18858	5043
789	18875	5017
790	18889	4991
791	18905	4965
792	18922	4939
793	18938	4913
794	18955	4887
795	18970	4861
796	18987	4836
797	19004	4810
798	19020	4785
799	19038	4759
800	19053	4733
801	19067	4707
802	19093	4684
803	19109	4658
804	19127	4633
805	19144	4607
806	19159	4582
807	19173	4556
808	19189	4530
809	19207	4505
810	19222	4479
811	19238	4454
812	19253	4428
813	19263	4401
814	19274	4375
815	19289	4349
816	19304	4323
817	19319	4298
818	19334	4272
819	19351	4247
820	19368	4222
821	19385	4197
822	19400	4172
823	19417	4147
824	19432	4122
825	19446	4096
826	19462	4071
827	19478	4046
828	19493	4021
829	19509	3995
830	19527	3971
831	19544	3946
832	19559	3921
833	19574	3896
834	19590	3871
835	19607	3846
836	19625	3821
837	19643	3797
838	19660	3772
839	19677	3748
840	19694	3723
841	19713	3699
842	19729	3674
843	19747	3650
844	19766	3625
845	19781	3600
846	19797	3576
847	19813	3551
848	19831	3527
849	19848	3502
850	19865	3478
851	19882	3453
852	19899	3429
853	19916	3404
854	19933	3380
855	19951	3356
856	19965	3331
857	19978	3306
858	19990	3281
859	20003	3256
860	20017	3231
861	20031	3206
862	20047	3182
863	20061	3157
864	20078	3133
865	20096	3109
866	20112	3085
867	20127	3060
868	20144	3036
869	20159	3012
870	20178	2988
871	20196	2964
872	20210	2940
873	20222	2915
874	20238	2891
875	20255	2867
876	20268	2842
877	20284	2818
878	20302	2794
879	20318	2770
880	20335	2746
881	20351	2722
882	20367	2698
