iter	Passed	Remaining
565	7518	5765
566	7536	5755
567	7545	5738
568	7557	5724
569	7566	5708
570	7576	5692
571	7587	5677
572	7598	5662
573	7611	5649
574	7628	5638
575	7641	5624
576	7653	5610
577	7661	5593
578	7672	5578
579	7682	5562
580	7695	5549
581	7705	5534
582	7715	5518
583	7726	5503
584	7739	5490
585	7747	5473
586	7759	5459
587	7772	5445
588	7782	5430
589	7795	5417
590	7810	5405
591	7823	5391
592	7832	5375
593	7845	5362
594	7856	5347
595	7867	5332
596	7878	5318
597	7901	5311
598	7913	5297
599	7924	5282
600	7938	5270
601	7950	5256
602	7960	5240
603	7969	5225
604	7977	5208
605	7987	5192
606	7996	5177
607	8009	5164
608	8018	5148
609	8028	5132
610	8041	5119
611	8052	5104
612	8062	5090
613	8072	5074
614	8086	5062
615	8100	5049
616	8114	5037
617	8124	5021
618	8137	5008
619	8149	4994
620	8160	4980
621	8173	4966
622	8185	4953
623	8198	4939
624	8208	4925
625	8220	4911
626	8235	4899
627	8246	4884
628	8256	4869
629	8266	4855
630	8284	4844
631	8298	4832
632	8313	4819
633	8326	4806
634	8337	4792
635	8347	4777
636	8357	4762
637	8367	4747
638	8377	4732
639	8388	4718
640	8401	4705
641	8412	4691
642	8424	4677
643	8434	4662
644	8445	4648
645	8454	4633
646	8464	4618
647	8473	4603
648	8486	4589
649	8498	4575
650	8506	4560
651	8519	4547
652	8529	4532
653	8544	4520
654	8554	4505
655	8564	4491
656	8579	4479
657	8592	4465
658	8605	4452
659	8615	4438
660	8629	4425
661	8642	4412
662	8651	4397
663	8663	4383
664	8674	4369
665	8687	4356
666	8700	4343
667	8710	4329
668	8721	4314
669	8731	4300
670	8745	4287
671	8755	4273
672	8764	4258
673	8777	4245
674	8788	4231
675	8799	4217
676	8810	4203
677	8823	4190
678	8837	4178
679	8847	4163
680	8856	4148
681	8868	4135
682	8878	4120
683	8893	4108
684	8904	4094
685	8914	4080
686	8933	4070
687	8944	4056
688	8956	4042
689	8966	4028
690	8976	4013
691	8988	4000
692	8997	3986
693	9009	3972
694	9020	3958
695	9033	3945
696	9045	3932
697	9054	3917
698	9065	3903
699	9076	3889
700	9091	3877
701	9100	3863
702	9110	3848
703	9121	3835
704	9133	3821
705	9151	3810
706	9165	3798
707	9174	3783
708	9188	3771
709	9197	3756
710	9205	3741
711	9218	3728
712	9230	3715
713	9238	3700
714	9249	3686
715	9259	3672
716	9268	3658
717	9278	3644
718	9289	3630
719	9298	3616
720	9308	3602
721	9316	3587
722	9329	3574
723	9339	3560
724	9350	3546
725	9358	3532
726	9368	3518
727	9379	3504
728	9390	3490
729	9400	3476
730	9413	3463
731	9426	3451
732	9435	3436
733	9445	3423
734	9456	3409
735	9468	3396
736	9480	3383
737	9493	3370
738	9506	3357
739	9517	3344
740	9528	3330
741	9538	3316
742	9547	3302
743	9561	3289
744	9569	3275
745	9580	3261
746	9589	3247
747	9599	3233
748	9609	3220
749	9620	3206
750	9631	3193
751	9640	3179
752	9649	3165
753	9661	3152
754	9669	3137
755	9680	3124
756	9692	3111
757	9702	3097
758	9715	3084
759	9725	3071
760	9737	3058
761	9747	3044
762	9758	3031
763	9776	3019
764	9788	3007
765	9799	2993
766	9813	2981
767	9827	2968
768	9836	2954
769	9846	2941
770	9855	2927
771	9865	2913
772	9875	2900
773	9887	2886
774	9900	2874
775	9910	2860
776	9920	2847
777	9931	2833
778	9944	2821
779	9957	2808
780	9970	2795
781	9982	2782
782	9989	2768
783	10010	2758
784	10026	2746
785	10038	2733
786	10050	2720
787	10062	2707
788	10076	2694
789	10092	2682
790	10112	2672
791	10133	2661
792	10147	2648
793	10157	2635
794	10169	2622
795	10179	2608
796	10190	2595
797	10200	2581
798	10210	2568
799	10218	2554
800	10229	2541
801	10243	2528
802	10254	2515
803	10264	2502
804	10273	2488
805	10284	2475
806	10297	2462
807	10305	2448
808	10317	2435
809	10328	2422
810	10337	2409
811	10348	2396
812	10360	2382
813	10368	2369
814	10378	2355
815	10388	2342
816	10399	2329
817	10412	2316
818	10422	2303
819	10432	2289
820	10444	2277
821	10454	2263
822	10466	2250
823	10480	2238
824	10492	2225
825	10501	2212
826	10514	2199
827	10524	2186
828	10534	2172
829	10545	2159
830	10557	2147
831	10565	2133
832	10574	2120
833	10584	2106
834	10595	2093
835	10607	2080
836	10617	2067
837	10628	2054
838	10641	2041
839	10649	2028
840	10659	2015
841	10667	2001
842	10676	1988
843	10687	1975
844	10697	1962
845	10708	1949
846	10720	1936
847	10726	1922
848	10741	1910
849	10752	1897
850	10765	1884
851	10785	1873
852	10801	1861
853	10818	1849
854	10836	1837
855	10849	1825
856	10858	1811
857	10868	1798
858	10876	1785
859	10890	1772
860	10901	1759
861	10911	1746
862	10920	1733
863	10931	1720
864	10946	1708
865	10955	1695
866	10979	1684
867	11001	1673
868	11011	1659
869	11022	1647
870	11031	1633
871	11041	1620
872	11053	1608
873	11062	1594
874	11071	1581
875	11081	1568
876	11091	1555
877	11104	1542
878	11112	1529
879	11122	1516
880	11134	1504
881	11148	1491
882	11158	1478
883	11167	1465
884	11177	1452
885	11189	1439
886	11202	1427
887	11210	1413
888	11221	1401
889	11234	1388
890	11246	1375
891	11255	1362
892	11265	1349
893	11277	1337
894	11286	1324
895	11298	1311
896	11309	1298
897	11323	1286
898	11332	1273
899	11343	1260
900	11352	1247
901	11361	1234
902	11371	1221
903	11383	1208
904	11394	1196
905	11403	1183
906	11413	1170
907	11428	1157
908	11441	1145
909	11452	1132
910	11462	1119
911	11473	1107
912	11482	1094
913	11494	1081
914	11504	1068
915	11514	1055
916	11526	1043
917	11537	1030
918	11549	1017
919	11560	1005
920	11568	992
921	11580	979
922	11590	966
923	11600	954
924	11613	941
925	11623	928
926	11631	915
927	11641	903
928	11651	890
929	11663	877
930	11674	865
931	11683	852
932	11695	839
933	11705	827
934	11716	814
935	11730	802
936	11740	789
937	11755	777
938	11766	764
939	11779	751
940	11791	739
941	11802	726
942	11811	713
943	11823	701
944	11834	688
945	11845	676
946	11859	663
947	11869	651
948	11879	638
949	11890	625
950	11899	613
951	11908	600
952	11917	587
953	11927	575
954	11936	562
955	11944	549
956	11953	537
957	11961	524
958	11971	511
959	11978	499
960	11988	486
961	11996	473
962	12007	461
963	12018	448
964	12023	436
965	12032	423
966	12042	410
967	12049	398
968	12056	385
969	12063	373
970	12071	360
971	12078	347
972	12083	335
973	12089	322
974	12095	310
975	12101	297
976	12107	285
977	12114	272
978	12120	259
979	12124	247
980	12130	234
981	12136	222
982	12141	209
983	12147	197
984	12151	185
985	12159	172
986	12165	160
987	12169	147
988	12175	135
989	12181	123
990	12186	110
991	12191	98
992	12196	85
993	12199	73
994	12204	61
995	12209	49
996	12214	36
997	12221	24
998	12228	12
999	12236	0
